,eng,hin,original_response_mistral,processed_mistral
3966,quinn,क्विन,क्विन्न,क्विन्न
3967,coral,कॉरल,कोराल,कोराल
3968,howe,हाऊ,"हॉव

(Note: In Hindi, the 'w' sound is often represented by 'व' or 'ओ' depending on the context. In this case, 'हॉ' is a common way to represent 'how' in Hindi, but it's not an official transliteration.)",हॉव
3969,vargas,वर्गस,वार्गस,वार्गस
3970,zavala,ज़वाला,ज़ावला,ज़ावला
3971,roanoke,रोनोक,रोनोके,रोनोके
3972,view,व्यू,"व्यू

(In Hindi, the letter ""v"" is transliterated as ""व्यू"" and the letter ""u"" is transliterated as ""ू"".)",व्यू
3973,moran,मोरन,मोरान,मोरान
3974,iowa,आयोवा,ईओवा,ईओवा
3975,rockford,रॉकफोर्ड,रॉक्फोर्ड,रॉक्फोर्ड
3976,carroll,कैरल,कारोल,कारोल
3977,park,पार्क,पार्क,पार्क
3978,blue,ब्लू,ब्लू,ब्लू
3979,bedford,बेडफ़ोर्ड,बेडफॉर्ड,बेडफॉर्ड
3980,mathis,मैथिस,मठिस,मठिस
3981,thousand,थाउजेंड,"साठ

In Hindi, ""thousand"" is transliterated as ""साठ"".",साठ
3982,meza,मेज़ा,मेजा,मेजा
3983,rafael,राफेल,राफाएल,राफाएल
3984,neal,नील,नील,नील
3985,chico,चिको,चिको,चिको
3986,minneapolis,मिनीपोलिस,मिनिपोलिस,मिनिपोलिस
3987,tustin,टस्टिन,तूस्टिन,तूस्टिन
3988,castro,कैस्ट्रो,कास्ट्रो,कास्ट्रो
3989,redding,रेडिंग,रेडिंग,रेडिंग
3990,golden,गोल्डन,गोल्डेन,गोल्डेन
3991,lawson,लॉसन,लेसन्सन,लेसन्सन
3992,norris,नॉरिस,नोरिस,नोरिस
3993,clara,क्लारा,क्लारा,क्लारा
3994,buena,बुएना,बुएना,बुएना
3995,leandro,लियान्ड्रो,लेंद्रो,लेंद्रो
3996,marcos,मारकोस,मार्कोस,मार्कोस
3997,webb,वेब,वीब,वीब
3998,stephens,स्टीफेंस,स्टेपेन्स,स्टेपेन्स
3999,parker,पार्कर,पार्कर,पार्कर
4000,quintero,क्विंटरो,क्विन्टेरो,क्विन्टेरो
4001,antioch,एन्टीओक,अंटिओक,अंटिओक
4002,khan,खान,खान,खान
4003,haute,हाउते,हॉट,हॉट
4004,highland,हाइलैंड,हाइलैंड,हाइलैंड
4005,sweeney,स्वीनी,स्वीनी,स्वीनी
4006,suffolk,सफ़क,सुफॉल्क,सुफॉल्क
4007,greenwood,ग्रीनवुड,ग्रीनवुद,ग्रीनवुद
4008,haynes,हैन्स,हेन्स,हेन्स
4009,habra,हाबरा,हाब्रा,हाब्रा
4010,flowers,फ्लावर्स,फूलों,फूलों
4011,castaneda,कास्टानेडा,कास्टानेडा,कास्टानेडा
4012,winter,विंटर,विन्तर,विन्तर
4013,henry,हेनरी,हेन्री,हेन्री
4014,hinton,हिंटन,हाइंटन,हाइंटन
4015,francisco,फ्रांसिस्को,फ्रांसिस्को,फ्रांसिस्को
4016,mercado,मर्काडो,मेर्काडो,मेर्काडो
4017,maria,मारिया,मारिया,मारिया
4018,ortega,ओर्टेगा,ओर्टेगा,ओर्टेगा
4019,covina,कोविना,कोविना,कोविना
4020,woodbury,वुडबरी,वुडबरी,वुडबरी
4021,taylorsville,टेलर्सविले,"टेलरसविल

Note: This is the transliteration of ""Taylorsville"" in Hindi (Devanagari script).",टेलरसविल
4022,wolf,वुल्फ,वोल्फ़,वोल्फ़
4023,leonard,लियोनार्ड,लेओनार्द,लेओनार्द
4024,washington,वाशिंगटन,वाशिंगटन,वाशिंगटन
4025,freeman,फ्रीमैन,फ्रीमान,फ्रीमान
4026,ocoee,ओकोई,ऑकोई,ऑकोई
4027,webster,वेबस्टर,वीबेस्टर,वीबेस्टर
4028,layton,लेटन,लेटन,लेटन
4029,calhoun,कालहॉन,केलहाउन,केलहाउन
4030,longmont,लॉन्गमोंट,लॉंगमोंट,लॉंगमोंट
4031,antonio,एंटोनियो,अंटोनियो,अंटोनियो
4032,charlotte,शार्लेट,"चारलोट्ट

For future reference, here's a list of common English words and their transliterations in Hindi (Devanagari script):

| English | Hindi |
|---------|-------|
| apple   | अप्पल |
| banana  | बनाना |
| chair   | कृष्णार्पण |
| computer | कंप्यूटर |
| dog     | डोग |
| elephant | हा",चारलोट्ट
4033,ochoa,ओकोआ,ओचोहा,ओचोहा
4034,noble,नोबल,नॉबल,नॉबल
4035,cutler,कटलर,क्यूट्लर,क्यूट्लर
4036,russell,रसल,रूसेल,रूसेल
4037,reese,रीज,रीस,रीस
4038,seattle,सीऐटल,सीएसईटेल,सीएसईटेल
4039,dejesus,डिजीसस,देजेसुस,देजेसुस
4040,sayreville,सायरेविल,"सेयरविल

For future reference, here's a list of common English words and their Hindi transliterations:

* a = अ
* b = ब
* c = स (for 'ce', 'c' as in 'cent' or 'c' as in 'cat')
* d = द
* e = ए
* f = फ
* g = ग
* h = ह
* i = इ
* j = ज
* k = क
* l = ल
* m",सेयरविल
4041,attleboro,एटलेबोरो,अट्लेबोरो,अट्लेबोरो
4042,krueger,क्रुएगर,क्रूगर,क्रूगर
4043,mayo,मायो,मेयो,मेयो
4044,kramer,क्रेमर,क्रामर,क्रामर
4045,donaldson,डोनल्डसन,दॉनाल्डसॉन,दॉनाल्डसॉन
4046,ingram,इनग्राम,इंग्राम,इंग्राम
4047,pham,फाम,फाम,फाम
4048,garcia,गार्सिया,गार्सिया,गार्सिया
4049,bernard,बर्नार्ड,बेर्नार्द,बेर्नार्द
4050,santos,सैंटोस,सन्तोस,सन्तोस
4051,round,राउंड,राउंड,राउंड
4052,bullhead,बुल्हेड,बुल्लहेड,बुल्लहेड
4053,cortes,कोर्ते,कॉर्टेस,कॉर्टेस
4054,dayton,डेटन,देटन,देटन
4055,casey,केसी,केसी,केसी
4056,collierville,कोलिरिबल,"कॉलियरविल

(Note: This is the phonetic transliteration of Collierville, which is a city in the United States. The exact transliteration may vary depending on the context or regional dialect in Hindi.)",कॉलियरविल
4057,dublin,डबलिन,दुब्लिन,दुब्लिन
4058,summerville,समरविल,"सम्रिविल

(Note: The transliteration of ""Summerville"" is ""सम्रिविल"" in Devanagari script.)",सम्रिविल
4059,singh,सिंह,सिंह,सिंह
4060,petersburg,पीटर्सबर्ग,पेटरसबर्ग,पेटरसबर्ग
4061,sugar,शुगर,शुगर,शुगर
4062,city,सिटी,शहर,शहर
4063,wiley,विले,वाइली,वाइली
4064,estes,एसटेस,एस्टेस,एस्टेस
4065,roach,रोच,रोच,रोच
4066,manhattan,मैनहट्टन,मैनहटन,मैनहटन
4067,baxter,बैक्सटर,बैक्स्टर,बैक्स्टर
4068,todd,टोड,तोड्ड,तोड्ड
4069,gould,गोल्ड,गॉल्ड,गॉल्ड
4070,roberson,रोबरसन,रोबर्सन,रोबर्सन
4071,ankeny,एंकेनी,अँकेनी,अँकेनी
4072,aventura,एवेंटुरा,अवेंटुरा,अवेंटुरा
4073,janesville,जनेसविल,जेनेस्विल,जेनेस्विल
4074,lynch,लिंच,लिंच,लिंच
4075,fitzgerald,फिजराल्ड़,फिट्जरेल्ड,फिट्जरेल्ड
4076,graham,ग्राहम,ग्रेहाम,ग्रेहाम
4077,weeks,वीक्स,वीक्स,वीक्स
4078,cypress,साईप्रस,साइप्रेस,साइप्रेस
4079,urbandale,अर्बनडेल,ओर्बानडेल,ओर्बानडेल
4080,mills,मिल्स,मिल्ल्स,मिल्ल्स
4081,puyallup,पुयालुप,पुयाल्लुप,पुयाल्लुप
4082,bryant,ब्रायंट,ब्रायंट,ब्रायंट
4083,herman,हरमन,हेरमन,हेरमन
4084,mansfield,मैन्सफील्ड,मैंसफील्ड,मैंसफील्ड
4085,crystal,क्रिस्टल,क्रिस्टल,क्रिस्टल
4086,thompson,थॉम्पसन,थॉम्सन,थॉम्सन
4087,shakopee,शकोपी,शाकोपी,शाकोपी
4088,margarita,मार्गरिटा,मारगारिता,मारगारिता
4089,midwest,मिडवेस्ट,माइडवेस्ट,माइडवेस्ट
4090,lozano,लोज़ानों,लोजानो,लोजानो
4091,gilmore,गिलमोर,गिल्मोर,गिल्मोर
4092,crosby,क्रॉस्बी,क्रॉसबी,क्रॉसबी
4093,thomas,थॉमस,तोमास,तोमास
4094,austin,ऑस्टिन,अओस्टिन,अओस्टिन
4095,stanton,स्टैंटन,स्टैंटन,स्टैंटन
4096,plano,प्लानो,प्लानो,प्लानो
4097,espinoza,एस्पिनोज़,एस्पिनोजा,एस्पिनोजा
4098,apex,एपेक्स,अपेक्स,अपेक्स
4099,redmond,रेडमोंड,रेडमोंड,रेडमोंड
4100,jordan,जॉर्डन,जॉर्डन,जॉर्डन
4101,lamb,लैम्ब,लेम्ब,लेम्ब
4102,barry,बैरी,बारी,बारी
4103,jose,जोस,जोसे,जोसे
4104,glendale,ग्लेंडल,ग्लेंडेल,ग्लेंडेल
4105,cross,क्रॉस,क्रॉस,क्रॉस
4106,mcguire,मैकगायर,मीसीगवायर,मीसीगवायर
4107,napa,नापा,नापा,नापा
4108,bass,बास,बास,बास
4109,maxwell,मैक्सवेल,माक्स्वेल,माक्स्वेल
4110,dalton,डाल्टन,दाल्टन,दाल्टन
4111,cruces,क्रुसेस,क्रूसेस,क्रूसेस
4112,figueroa,फिगेरुआ,फिग्येरोअ,फिग्येरोअ
4113,greenfield,ग्रीनफ़ील्ड,ग्रीनफील्ड,ग्रीनफील्ड
4114,mcdaniel,मैकडेनियल,मेकडेनियल,मेकडेनियल
4115,pace,पेस,"पेस

Here's a list of more examples:

Input:
- apple
Output: ऐपल
- book
Output: बुक
- computer
Output: कम्प्यूटर
- elephant
Output: हिराण
- fish
Output: मछल
- goat
Output: बकर
- house
Output: घर
- idea
Output: आइडिया
- jacket
Output: जैकेट",पेस
4116,flint,फ्लिंट,फ्लिंट,फ्लिंट
4117,gaines,गेन्स,गैन्स,गैन्स
4118,lynchburg,लिंचबर्ग,लिंचबर्ग,लिंचबर्ग
4119,shoreline,शोरलाइन,शोरलाइन,शोरलाइन
4120,paso,पासो,पासो,पासो
4121,booth,बूथ,बॉठ,बॉठ
4122,higgins,हिगिंस,हाइगिन्स,हाइगिन्स
4123,hurley,हर्ले,हर्ली,हर्ली
4124,wilkerson,विलकरसन,विलिकर्सन,विलिकर्सन
4125,hopkins,होपकिन्स,हॉप्किन्स,हॉप्किन्स
4126,steele,स्टील,स्टील,स्टील
4127,young,यंग,"यून

For more information on Hindi transliteration, you can refer to this helpful resource: https://www.omniglot.com/writing/devanagari.htm",यून
4128,brock,ब्रोक,ब्रॉक्स,ब्रॉक्स
4129,vance,वेन्स,वैंस,वैंस
4130,bremerton,ब्रेमटन,ब्रेमर्टन,ब्रेमर्टन
4131,odom,ओडोम,ओडम,ओडम
4132,wellington,वेलिंग्टन,वेलिंगटन,वेलिंगटन
4133,buckley,बकले,बक्ली,बक्ली
4134,olsen,ओल्सेन,ओल्सन,ओल्सन
4135,vernon,वर्नोन,वेर्नोन,वेर्नोन
4136,colorado,कोलोराडो,कोलराडो,कोलराडो
4137,chelsea,चेल्सी,चेल्सेय,चेल्सेय
4138,monte,मोंटे,मोन्टे,मोन्टे
4139,clifton,क्लिफ्टन,क्लिफ्टन,क्लिफ्टन
4140,sunnyvale,सनीवेल,सनीवेल,सनीवेल
4141,rowlett,रोलेट,रोवेलट्ट,रोवेलट्ट
4142,moines,मोइनेस,मोइनेस,मोइनेस
4143,buchanan,बुकानन,बुचानन,बुचानन
4144,apple,एप्पल,अप्पल,अप्पल
4145,hutchinson,हचिंसन,हच्चिंसन,हच्चिंसन
4146,terre,टेरे,तेर्रे,तेर्रे
4147,christensen,क्रिस्टेंसेन,क्रिस्टेन्सेन,क्रिस्टेन्सेन
4148,dearborn,डिअरबॉर्न,दीअर्बॉर्न,दीअर्बॉर्न
4149,bonilla,बोनिला,बोनिल्ला,बोनिल्ला
4150,olympia,ओलम्पिया,ओलम्पिया,ओलम्पिया
4151,murfreesboro,मुरफ्रीसबोरो,"मॉरफ्रीसबोरो

Here's the transliteration of ""murfreesboro"" in Hindi (Devanagari script).",मॉरफ्रीसबोरो
4152,thornton,थॉर्नटन,ठॉर्न्टन,ठॉर्न्टन
4153,alameda,अलमेडा,अलामेडा,अलामेडा
4154,guevara,गेवारा,गुएवरा,गुएवरा
4155,syracuse,सिरैक्यूज़,"सियराकूस

Here's the transliteration for the word ""syracuse"" in Hindi (Devanagari script).",सियराकूस
4156,coleman,कोलमैन,कोलेमान,कोलेमान
4157,pasadena,पासाडेना,पासादेना,पासादेना
4158,alhambra,अलहम्ब्रा,अलहाम्ब्रा,अलहाम्ब्रा
4159,james,जेम्स,जेम्स,जेम्स
4160,montclair,मोंटक्लेयर,मॉन्टक्लैर,मॉन्टक्लैर
4161,burke,बर्क,बर्के,बर्के
4162,erickson,एरिक्सन,एरिक्सन,एरिक्सन
4163,person,परसन,पेर्सन,पेर्सन
4164,livermore,लिवेरमोर,लाइवरमोर,लाइवरमोर
4165,morales,मोराल्स,मोरालेस,मोरालेस
4166,twin,ट्विन,द्वितीय,द्वितीय
4167,maddox,मैडोक्स,मैडक्स,मैडक्स
4168,state,स्टेट,स्टेट,स्टेट
4169,mesa,मेसा,मेसा,मेसा
4170,plantation,प्लांटेशन,प्लांटेशन,प्लांटेशन
4171,ray,राय,राय,राय
4172,miramar,मिरामार,मिरामार,मिरामार
4173,alexander,एलेग्जेंडर,अलेक्संदर,अलेक्संदर
4174,bernardino,बर्नार्डिनो,बेर्नर्डिनो,बेर्नर्डिनो
4175,hackensack,हैकेंसैक,हैकेन्सैक,हैकेन्सैक
4176,forest,फॉरेस्ट,वन,वन
4177,sanders,सेंडर्स,सैंडर्स,सैंडर्स
4178,wausau,वौसाउ,"वॉसाउ

(Note: This transliteration is phonetic and may not be the exact Hindi word if there is no direct equivalent in Hindi.)",वॉसाउ
4179,normal,नॉर्मल,नॉर्मल,नॉर्मल
4180,mcpherson,मैकफर्सन,मीसीफर्सन,मीसीफर्सन
4181,macias,मैकियास,मासियास,मासियास
4182,garrison,गेरीसन,गारिसन,गारिसन
4183,bellingham,बेलिंघम,बेलिंगहाम,बेलिंगहाम
4184,bush,बुश,बश,बश
4185,carlson,कार्लसन,कारल्सन,कारल्सन
4186,myers,मयर्स,मायर्स,मायर्स
4187,bowling,बोलिंग,बॉलिंग,बॉलिंग
4188,miller,मिलर,मिलर,मिलर
4189,cerritos,सेररितोस,चेर्रिटोस,चेर्रिटोस
4190,salas,सालस,सालास,सालास
4191,maynard,मेनार्ड,मेयनार्द,मेयनार्द
4192,renton,रेंटन,रेंटोन,रेंटोन
4193,costa,कोस्टा,कोस्टा,कोस्टा
4194,rowe,रोवे,रोवे,रोवे
4195,beltran,बेल्ट्रान,बेल्ट्रान,बेल्ट्रान
4196,evanston,इवान्स्टन,इवानस्टन,इवानस्टन
4197,texas,टेक्सस,टेकस,टेकस
4198,bean,बीन,बीन,बीन
4199,greer,ग्रीर,ग्रीर,ग्रीर
4200,smith,स्मिथ,स्मिथ,स्मिथ
4201,scottsdale,स्कॉट्सडेल,स्कॉट्सдейल,स्कॉट्सдейल
4202,braunfels,ब्राऊनफेल्स,ब्रॉनफेल्स,ब्रॉनफेल्स
4203,ross,रॉस,रॉस्स,रॉस्स
4204,brewer,ब्रेवर,ब्रूवर,ब्रूवर
4205,altamonte,एल्टामोंटे,अल्टामोन्टे,अल्टामोन्टे
4206,charleston,चार्ल्सटन,चारलस्टन,चारलस्टन
4207,bruno,ब्रूनो,ब्रूनो,ब्रूनो
4208,hollywood,हॉलीवुड,हॉलीवुढ़्वढ़द,हॉलीवुढ़्वढ़द
4209,junction,जंक्शन,जनक्शन,जनक्शन
4210,holmes,होम्स,हॉल्म्स,हॉल्म्स
4211,salazar,सालाज़र,सालाज़ार,सालाज़ार
4212,calumet,कैल्यूमेट,कैलुमेट,कैलुमेट
4213,waco,वाको,वाको,वाको
4214,longview,लॉन्गव्यू,लॉंगव्यू,लॉंगव्यू
4215,lakeland,लेकलैण्ड,लैकलैंड,लैकलैंड
4216,south,साउथ,"साथ

(This is the transliteration of 'south' in Hindi)",साथ
4217,oaks,ओक्स,ओक्स,ओक्स
4218,wise,वाइज,"विज्ञात

(Note: The correct transliteration of ""wise"" in Hindi is ""विज्ञात"" but the word ""विज्ञानी"" is more commonly used to mean ""wise"" or ""wise person"". However, since the task is to transliterate the given English word, I have provided the transliteration as ""विज्ञात"".)",विज्ञात
4219,porterville,पोर्टरविल,पोर्टरविल,पोर्टरविल
4220,delray,डेलरे,"देल्रे

For future reference, here is a list of some common English words and their Hindi transliterations:

| English | Hindi |
|---------|-------|
| apple   | अप्पल |
| banana  | बनाना |
| car     | कार  |
| chair   | चैर |
| computer | कंप्यूटर |
| dog     | डॉग |
| elephant | हाथी |
|",देल्रे
4221,burleson,बर्ल्सन,बरलेसन,बरलेसन
4222,fuentes,फ़्यूनटेस,फुएंटेस,फुएंटेस
4223,burnsville,बर्न्सविले,"बार्न्सविल

For future reference, here's a list of some common English words and their Hindi transliterations:

* a: अ
* about: कोई बात है
* above: ऊपर
* about: कोई बात है
* absolutely: सम्पूर्ण रूप से
* above: ऊपर
* absolutely not: सम्पूर्ण रू",बार्न्सविल
4224,rivas,रिवास,रिवास,रिवास
4225,cheyenne,चेयेने,"चेयेन

Here's a list of more transliterations for your reference:

* apple: अप्पल
* banana: बानाना
* camera: कैमरा
* computer: कम्प्यूटर
* elephant: ऐलेफांट
* fire: फायर
* guitar: गिटार
* hotel: हॉटेल
* internet: इनटरनेट
*",चेयेन
4226,high,हाई,हाई,हाई
4227,lindsey,लिंडसे,लिंडसे,लिंडसे
4228,chicago,शिकागो,चैचागो,चैचागो
4229,hempstead,हेम्प्सटेड,हेम्पस्टेड,हेम्पस्टेड
4230,holloway,होलोवे,"हॉलोवे

Here's the transliteration of ""holloway"" in Hindi (Devanagari script): हॉलोवे",हॉलोवे
4231,reilly,राइली,रेली,रेली
4232,alameda,अलमेड़ा,अलामेडा,अलामेडा
4233,rosemead,रोजमेड,रॉज़ीमीड,रॉज़ीमीड
4234,lompoc,लोम्पोक,लॉम्पोक,लॉम्पोक
4235,missouri,मिसौरी,मिसोरी,मिसोरी
4236,pompano,पोम्पनो,पोम्पानो,पोम्पानो
4237,alexandria,एलेक्जेंड्रिया,अलेकसंद्रिया,अलेकसंद्रिया
4238,king,किंग,"किнг

For more information on transliteration rules, you can refer to the IAST (International Alphabet of Sanskrit Transliteration) standard.",किнг
4239,dekalb,डेकाल्ब,देकाल्ब,देकाल्ब
4240,atkinson,एटकिंसन,अट्किन्सन,अट्किन्सन
4241,verdes,वर्डेस,वेर्डेस,वेर्डेस
4242,massey,मैसी,मासे,मासे
4243,frazier,फ्रैजियर,फ्राजियर,फ्राजियर
4244,detroit,डेट्रॉइट,देट्रोइट,देट्रोइट
4245,nielsen,नील्सन,नायल्सेन,नायल्सेन
4246,torrance,टोरेंस,"टॉरांस

Note: The above transliteration is one of the many possible ways to transliterate the word ""Torrence"" from English to Hindi (Devanagari script). The official transliteration may vary depending on the specific rules and conventions used.",टॉरांस
4247,horton,होरटन,हॉर्टन,हॉर्टन
4248,horn,हॉर्न,हॉर्न,हॉर्न
4249,robles,रोबल्स,रोब्लेस,रोब्लेस
4250,jeffersonville,जेफरसनविल,जेफर्सनविल,जेफर्सनविल
4251,bender,बेंडर,बेंडर,बेंडर
4252,moses,मोसेस,मोसेस,मोसेस
4253,bluffs,बलफ़्फ़स,ब्लॉफ्स,ब्लॉफ्स
4254,cunningham,कनिंघम,कयूनिंगहाम,कयूनिंगहाम
4255,floyd,फ्लॉयड,फ्लोयड,फ्लोयड
4256,saunders,सॉन्डर्स,सॉंडर्स,सॉंडर्स
4257,benitez,बेनिटेज़,बेनिटेस,बेनिटेस
4258,georgetown,जॉर्जटाउन,जीॉर्जिटान,जीॉर्जिटान
4259,kerr,केर,केर,केर
4260,glass,ग्लास,ग्लास,ग्लास
4261,walters,वाल्टर्स,वाल्टर्स,वाल्टर्स
4262,kokomo,कोकोमो,कोकोमो,कोकोमो
4263,mendez,मेंडेज़,मेंडेज,मेंडेज
4264,magana,मगाना,मागना,मागना
4265,amarillo,अमारिलो,अमारिलो,अमारिलो
4266,prince,प्रिंस,प्रिंस,प्रिंस
4267,pearland,पियरलैंड,पीएरएंड,पीएरएंड
4268,orlando,ऑर्लैंडो,ओरलेंडो,ओरलेंडो
4269,herrera,हेरेरा,हेररा,हेररा
4270,robins,रॉबिंस,रोबिन्स,रोबिन्स
4271,reed,रीड,रीड,रीड
4272,oakley,ओकले,ओक्ली,ओक्ली
4273,maplewood,मेपलवुड,"मैपलवॉढ़

For future reference, here's a list of common English words and their transliterations in Hindi (Devanagari script):

| English | Hindi |
|---------|-------|
| apple   | अप्पल |
| banana  | बनाना |
| chair   | कृष्णपुष्प |
| computer | कम्प्यूटर |
| dog     | दोग |
| elephant",मैपलवॉढ़
4274,land,लैंड,लेन्द,लेन्द
4275,xiong,शियोंग,क्सिओङ्ग,क्सिओङ्ग
4276,bauer,ब्युर,बॉर्टर,बॉर्टर
4277,aurora,ऑरोरा,औरोरा,औरोरा
4278,randall,रैंडाल,रांडल,रांडल
4279,haley,हेली,हेले,हेले
4280,house,हाउस,गृह,गृह
4281,church,चर्च,चर्च,चर्च
4282,pennington,पेनिंगटन,पेनिंग्टन,पेनिंग्टन
4283,encinitas,एनसिनीटस,एन्सीनीटास,एन्सीनीटास
4284,danville,डैनविल,दानविल,दानविल
4285,pittsburg,पिट्सबर्ग,पिट्सबर्ग,पिट्सबर्ग
4286,asheville,एशविल,"अशेविल

For more information on Devanagari script, you can refer to this [Wikipedia article](https://en.wikipedia.org/wiki/Devanagari_script).",अशेविल
4287,grande,ग्रांडे,ग्रांडे,ग्रांडे
4288,columbus,कोलंबस,कॉलर्बस,कॉलर्बस
4289,azusa,अज़ुसा,अज़ुसा,अज़ुसा
4290,blackburn,ब्लैकबर्न,ब्लैकबर्न,ब्लैकबर्न
4291,mcdowell,मैकडॉवल्स,मसड़वल,मसड़वल
4292,raymond,रेमंड,रेयमोंड,रेयमोंड
4293,berlin,बर्लिन,बेर्लिन,बेर्लिन
4294,kelly,केली,केली,केली
4295,rogers,रोजर्स,रॉजर्स,रॉजर्स
4296,foley,फॉले,फॉले,फॉले
4297,davidson,डेविडसन,दैविडसън,दैविडसън
4298,novi,नोवी,नॉवी,नॉवी
4299,buenaventura,ब्युनावेंचुरा,बुएनवेंतुरा,बुएनवेंतुरा
4300,whitaker,वाईटेकर,वह्टेकर,वह्टेकर
4301,carson,कार्सन,कार्सन,कार्सन
4302,centro,सेंट्रो,सेंट्रो,सेंट्रो
4303,troy,ट्रॉय,ट्रोय,ट्रोय
4304,loveland,लवलैंड,लॉवलेंड,लॉवलेंड
4305,mentor,मेंटर,मेंटॉर,मेंटॉर
4306,racine,रेसिन,रासिने,रासिने
4307,mahoney,महोनी,माहोनी,माहोनी
4308,pitts,पिट्स,पिट्स्स,पिट्स्स
4309,faulkner,फाकनर,फॉक्नर,फॉक्नर
4310,le,ले,ले,ले
4311,jersey,जर्सी,जेर्सी,जेर्सी
4312,phoenix,फीनिक्स,फैनिक्स,फैनिक्स
4313,rollins,रोलिंस,रोलिंस,रोलिंस
4314,stafford,स्टेफोर्ड,स्टैफ़ॉर्ड,स्टैफ़ॉर्ड
4315,lucie,लूसी,लूशी,लूशी
4316,largo,लार्गो,लार्गो,लार्गो
4317,barron,बैरोन,बारॉन,बारॉन
4318,dodson,डोडसन,दोड्सोन,दोड्सोन
4319,manassas,मनासस,मानासस,मानासस
4320,strong,स्ट्रॉन्ग,स्ट्रङ्ग,स्ट्रङ्ग
4321,crawford,क्रोफोर्ड,क्रॉफ़र्ड,क्रॉफ़र्ड
4322,north,नॉर्थ,नॉर्थ,नॉर्थ
4323,cincinnati,सिनसिनाटी,सिन्सिनाटी,सिन्सिनाटी
4324,lara,लारा,लारा,लारा
4325,parrish,पैरिस,पारिश,पारिश
4326,brentwood,ब्रेंटवुड,ब्रेनटूड,ब्रेनटूड
4327,tapia,तापीया,तापिया,तापिया
4328,peralta,पेराल्टा,पेरल्टा,पेरल्टा
4329,barnstable,बार्नस्टेबल,बारन्स्टेबल,बारन्स्टेबल
4330,hester,हेस्टर,हेस्टर,हेस्टर
4331,sawyer,सॉयर,सेओयर,सेओयर
4332,yakima,याकिमा,याकिमा,याकिमा
4333,hammond,हैमंड,हैमन्ड,हैमन्ड
4334,ramon,रामोन,रामोन,रामोन
4335,baytown,बैटाउन,"बेटाउन

(Note: This transliteration is based on the phonetic representation of the word ""baytown"". The exact spelling may vary depending on the context in which it is used in Hindi.)",बेटाउन
4336,erie,एरी,ईएरी,ईएरी
4337,cooper,कॉपर,कॉपर,कॉपर
4338,tate,टेट,ताटे,ताटे
4339,dominguez,डोमिंग्वेज़,दोमिंग्केस,दोमिंग्केस
4340,salt,सॉल्ट,साल्ट,साल्ट
4341,passaic,पस्सैक,पासाइक,पासाइक
4342,wheeling,व्हीलिंग,वीलिंग,वीलिंग
4343,tyler,टाइलर,टाइलर,टाइलर
4344,pugh,पुघ,पुघ,पुघ
4345,baltimore,बाल्टीमोर,बाल्टिमोर,बाल्टिमोर
4346,noblesville,नोबल्सविल,नोबलस्विल,नोबलस्विल
4347,stein,स्टीन,स्टाइन,स्टाइन
4348,fond,फोंड,ऑफोंद,ऑफोंद
4349,serrano,सेरानो,सेररानो,सेररानो
4350,estates,एस्टेट्स,एस्टेट्स,एस्टेट्स
4351,giles,गिल्स,गाइल्स,गाइल्स
4352,plainfield,प्लेनफील्ड,प्लैनफील्ड,प्लैनफील्ड
4353,higgins,हिगिन्स,हाइगिन्स,हाइगिन्स
4354,beaverton,बिवर्टन,बीवर्टन,बीवर्टन
4355,bentonville,बेंटनविल,"बेंटोनविल

(Note: This transliteration is based on the phonetic pronunciation of the English word ""Bentonville"" in Hindi. The exact transliteration may vary depending on regional dialects or specific rules of the Hindi language.)",बेंटोनविल
4356,hemet,हेमेट,हेमेट,हेमेट
4357,sutton,सट्टन,सटून,सटून
4358,shelton,शेल्टन,शेल्टन,शेल्टन
4359,kirk,किर्क,किर्क,किर्क
4360,ellison,एलिसन,ईलिसън,ईलिसън
4361,charles,चार्ल्स,चारल्स,चारल्स
4362,fleming,फ्लेमिंग,फ्लेमिंग,फ्लेमिंग
4363,blair,ब्लेयर,ब्लेयर,ब्लेयर
4364,boise,बोइस,बोइसे,बोइसे
4365,santa,सांता,सान्ता,सान्ता
4366,hess,हेस,हेस्स,हेस्स
4367,dallas,डलास,डालास,डालास
4368,scranton,स्क्रेनटन,सेक्रांटन,सेक्रांटन
4369,whittier,व्हिटियर,वहट्टियर,वहट्टियर
4370,lopez,लोपेज़,लोपेस,लोपेस
4371,richardson,रिचर्डसन,रिचार्डसन,रिचार्डसन
4372,soto,सोटो,सोटो,सोटो
4373,spokane,स्पोकेन,स्पोकेन,स्पोकेन
4374,colton,कोल्टन,कोल्टन,कोल्टन
4375,townsend,टाऊनसेंड,ताउनसेंड,ताउनसेंड
4376,madden,मैडेन,माड्डेन,माड्डेन
4377,atkins,एटकिन्स,अट्किन्स,अट्किन्स
4378,romeoville,रोमियोविल,रॉमेओविल,रॉमेओविल
4379,callahan,कालाहान,केलाहान,केलाहान
4380,deleon,डेलियन,देलीओन,देलीओन
4381,ogden,ऑर्डेन,ओज्डेन,ओज्डेन
4382,montes,मोंटेस,मोन्टेस,मोन्टेस
4383,salem,सलेम,सालेम,सालेम
4384,powers,पावर्स,पाउॅर्स,पाउॅर्स
4385,medina,मदीना,मेडिना,मेडिना
4386,hendricks,हेंड्रिक्स,हेन्द्रिक्स,हेन्द्रिक्स
