eng,hin,original_response_mistral
vasulta,वसूलता,वासुल्ता
dablyupeedi,डब्ल्यूपीडी,दाब्ल्यूपीडी
ulazaanon,उलझानों,उलाज़ानों
mukaddamon,मुकद्दमों,मुकाद्दमोन
panjika,पंजिका,पंजिका
dabochne,दबोचने,दाबोच्��neh
nahinkarwaaee,नहींकरवाई,नहींकरवाई
bhagyeshwar,भाग्येष्वर,भाग्येश्वर
tirthnagari,तीर्थनगरी,तिर्थनगरी
sanskaariyon,संस्कारियों,संस्कारियों
dafan,द़फन,दाफ़ान
swarnika,स्वर्णिका,स्वर्णिका
grahasthitiyaan,ग्रहस्थितियां,ग्रहस्थितियाँ
ohsr,ओएचएसआर,ओहएसआर
rejistes,रेजिस्टेस,रेजिस्टेस
yusugi,युसूगी,यूसूगी
mahaameediya,महामीडिया,महामेदिया
emdablyoopeeel,एमडब्ल्यूपीएल,एमडीएबलीओपील
darmait,डारमैट,दर्माइट
hote,होेते,हॉटे
parokshan,परोक्षण,परोक्षण
sampradarshit,सम्प्रदर्शित,सम्प्रदर्शित
karneshvardham,कर्णेश्वरधाम,कर्णेश्वर्धम
aamariyapada,आमरियापाड़ा,आमारियपादा
khatootolaa,खातूटोला,खातूतोलाा
vaaiphaay,वाइफाय,वायप्हाय
bharatwanshee,भारतवंशी,भारतवान्शी
hikaariko,हिकारिको,हिकारिको
meriti,मेरिती,मेरिटी
pratyaaksheeyon,प्रत्याक्षीयों,प्रत्याक्षेयों
dimaak,दिमाक,दीमाक
deedablyooen,डीडब्ल्यूएन,दीदाबलूएन
mahendrabhatanaagar,महेंद्रभटनागर,महेन्द्रभटनागर
teleebaag,तेलीबाग,तेलीबाग
asmitaaon,अस्मिताओं,अस्मिताओं
kamalanayan,कमलनयन,कमलानयन
faade,फाड़े,फाड़े
chashma,चष्मा,चश्मा
whaatsapp,व्हात्सप्प,व्हाट्साप
suhanubhuti,सुहानुभूति,सुहानुभूति
sevala,सेवाला,सेवाला
prashnottari,प्रश्नोत्तरी,प्रश्नोत्तरी
aiso,ऐसो,ऐसो
prabhaanmantree,प्रभानमंत्री,प्रभान्मन्त्री
aitraaz,ऐतराज़,अइत्राज़
swapnikaa,स्वप्निका,स्वप्निका
dhatta,धत्ता,धत्त
badhnaa,बढना,बढ़ना
chadhee,चड़ी,चड़ही
loksabhavalee,लोकसभावाली,लोकसभावली
darati,डराती,दारती
kauplaix,काॅप्लेक्स,कॉप्लाइक्स
gulaabaag,गुलाबाग,गुलाबाग
shot,शाॅट,शॉट
boodam,बूदम,बूडाम
opharah,ऑफरः,ओफाराह
laliteshwaree,ललितेश्वरी,लालितेश्वरी
jeetnewaalon,जीतनेवालों,जीतनेवालों
aiktiviteej,ऐक्टिविटीज,ऐक्टिवीटी
pratibaddhtaaen,प्रतिबद्धताएं,प्रतिबद्धताएँ
rishtaanaata,रिश्तानाता,रिश्तानाता
tereeh,तेरीः,तेरेह
vyakhyatmakta,व्याख्यात्मकता,व्यक्तिहत्मकता
madheekhedha,माड़ीखेड़ा,मधेखेढ़ा
prawej,प्रवेज,प्रवेज
photophrem,फोटोफ्रेम,फोटोफ्रेम
dvimaasik,द्विमासिक,द्विमासिक
mahamidiya,महामीडिया,महामिदिया
phallooja,फ़ल्लूजा,फालूजा
jitaa,जिता,जिता
tareekon,तरीक़ों,तारीकों
kaipdhari,कैपधारी,कैप्धारी
jhauva,झउवा,झौवा
ropee,रोपी,रॉपी
bangrawala,बंगरावाला,बांग्रावाला
ghairakaanoonee,ग़ैरकानूनी,गहैराकानोनी
wpsc,डब्ल्यूपीएससी,डबीपीसी
jeetanewalon,जीतनेवालों,जीतनेवालों
prawrutriyon,प्रवृत्रियों,प्रावृत्तियों
letaseng,लेटसेंग,लेटासेंग
gairmaujoodgee,गैरमौजूदगी,गैरमौजूदगी
camstudiyo,कैमस्टूडियो,कैएमस्टूडियो
aayudhnirmanee,आयुधनिर्माणी,आयुधनिर्माणी
pratigyapurn,प्रतिज्ञापूर्ण,प्रतिग्यापूर्ण
hichakichaaenge,हिचकिचाएंगे,हिचकिचाएंगे
vebuniyadi,वेबुनियादी,वेबुनियादी
varshon,वर्षाें,वर्षों
rikaeleebreshan,रिकैलीब्रेशन,रिकाएलीब्रेशन
shakeeladhaar,शकीलधार,शाकेलाधार
kasega,कसेगा,कासेगा
umadatee,उमड़ती,उमादती
mulabhoot,मुलभूत,मुलभूत
swanysewiyon,स्वयंसेवियों,स्वान्यसेवियों
insano,इंसानो,इंसानो
devlahaa,देवलहा,देवलाहा
prasaadhikaaen,प्रसाधिकाएं,प्रसाधिकाएन
sachhee,सछी,सच्ची
surwana,सुर्वणा,सूरवाना
ulhaspur,उल्हासपुर,उल्हासपुर
charanbaddha,चरणबद्घ,चरणबद्धा
mamalonmen,मामलोंमें,मामलोंमें
jivanparyant,जीवनपर्यंत,जिवनपर्यंत
prabhaavich,प्रभाविच,प्रभाविच्
darshnaarthi,दर्शनार्थी,दर्शनार्थी
paatotsava,पाटोत्सव,पातोत्सव
bantataa,बंटता,बनताता
bhijvaaee,भिजवाई,भिजवाए
sabhakaksha,सभाकक्ष,सभाकाक्षा
badalavaakar,बदलवाकर,बदलावकार
badhen,बढ़ें,बड़्धेन
dlw,डीएलडब्ल्यू,देल्वी (Delvi)
mugaalataa,मुगालता,मुगालाता
shavyaatra,शवयात्रा,शव्यात्रा
laalmanee,लालमणी,लालमानी
fanon,फानों,फानोन
pension,पेंषन,पेंशन
abdunnasir,अब्दुन्नासिर,अब्दुन्नासिर
khaufe,ख़ौफ़े,खौफे
jaruraten,ज़रूरतें,जारूरतें
sarvjaatiya,सर्वजातीय,सर्वजातिया
jababi,जबाबी,जाबाबी
khitaabon,खिताबों,खिताबों
kshetradwaaraa,क्षेत्रद्वारा,क्षेत्रद्वारा
pratirodhaatmak,प्रतिरोधात्मक,प्रतिरोधात्मक
mukhyamantriyon,मुख्यमंत्रियाें,मुख्यमंत्रियों
daishawaalaa,डैशवाला,दैशावाला
shreemahapurn,श्रीमहापूर्ण,श्रीमहापूर्ण
fotophrem,फोटोफ्रेम,फोटोफ्रेम
dootaay,दूताय,दोताय
karniyan,कार्नियां,करनियान
manwaaya,मनवाया,मानवाया
mantrayon,मंत्रयों,मन्त्रयों
bhramacharchaon,ब्रह्मचर्चाओं,भ्रमचार्चाओं
visangatiya,विसंगतिया,विसंगतिया
investable,इन्वेस्टेबल,इंवेस्टाबल
extactor,एक्सटेक्टर,एक्सटैक्टर
shradhaaluon,श्रद्घालुओं,श्रद्धालूओं
jhulae,झुलए,झुलाए
vankshetra,वनक्षेत्र,वान्क्षेत्र
vyavasthapana,व्यवस्थापना,व्यवस्थापना
awp,एडब्ल्यूपी,अव्ह्प्
puffin,पफिन,पूफिन
prologic,प्रोलॉजिक,प्रोलॉगिक
eesarnyaa,ईसरण्या,ईसर्न्या
kyooaaeepeees,क्यूआईपीएस,क्यूआएपीईएस
taatkaaleen,तात्कालीन,तातकालीन
gujaarne,गुजारने,गुजारने
pratibaddhataa,प्रतिबद्धाता,प्रतिबद्धता
praavinses,प्राविंसेस,प्राविन्सेस
gushtaakhi,गुश्ताखी,गुष्टाखी
lagaateen,लगातीं,लागातीन
evm,ईवीेएम,एवीएम
jyotishyshastron,ज्योतिष्यशास्त्रों,ज्योतिष्यशास्त्रों
chairaahe,चैराहे,चैराहे
telugudesham,तेलुगुदेशम,तेलुगुदेशम
datree,दात्री,दात्री
mukhyamantree,मुख्यमंंत्री,मुख्यमंत्री
manzilaa,मंज़िला,मान्जिला
chimate,चिमाते,चिमाते
vrishchikahsaptah,वृश्चिकःसप्ताह,वृष्चिकशप्तह
dhabhaashara,धभाशारा,धाभशरा
kshetreeyon,क्षेत्रीयों,क्षेत्रीयों
uchchaadhikaareeyo,उच्चअधिकारीयो,उछादिकारीयो
sanyuktavastha,संयुक्तावस्था,सन्युक्तवस्था
pradhaanmantriki,प्रधानमंत्रीकी,प्रधानमंत्रीकी
maarake,मारके,मारके
tatarakshakon,तटरक्षकों,तातारक्षकों
didauli,डिडौली,दिदौली
kachchhe,कच्छे,कच्छे
prana,प्राना,प्राण
subjunior,सबजूनियर,सबजूनियर
exkleshan,एक्सक्लेशन,एक्सक्लेशन
fatahi,फटही,फ़ातही
kadaacharan,कदाचरण,कदाचरण
jaamudiya,जामुड़िया,जामुदिया
mukeshvari,मुकेश्वरी,मुकेश्वरी
upamukhyamantriyon,उपमुख्यमंत्रियों,उपमुख्यमंत्रियों
rediyopremi,रेडियोप्रेमी,रेडियोप्रेमी
fibric,फाइब्रिक,फ़िब्रिक
niswarth,निस्वार्थ,निस्वर्थ
majboori,मज़बूरी,माजबूरी
napaadhyaksha,नपाध्यक्ष,नापाध्यक्षा
karmaacharee,कर्माचारी,कर्माचारी
nividataaon,निविदाताओं,निविदाताओं
loksbhavaali,लोकसभावाली,लोकसभावाली
ubhregaa,उभरेगा,उँभ्रेगा
premamoolak,प्रेममूलक,प्रेममूलक
kaviyatri,कवियत्री,कवियात्री
poorwottar,पूर्वाेत्तर,पूर्वोत्तर
bahunt,बहुंत,बहुंत
dharmaanand,धर्मानंद,धर्मानन्द
ubarkar,उबरकर,उबारकर
wafadaaree,वफ़ादारी,वाफ़दारी
gandhipuraa,गांधीपुरा,गांधीपुरा
lapattaa,लापत्ता,लापट्टा
nyaayalayeen,न्यायालयीन,न्यायालयीन
paayange,पायंगे,पायाँगे
menh,मेंः,मेंह
soodkhoron,सूदखोरों,सूढखोरों
proofread,प्रूफ़रीड,प्रूफ़रीड
nodarani,नोडरानी,नोदरानी
arthavyawasthataaon,अर्थव्यवस्थताओं,अर्थव्यवस्थाताओं
frektar,फ्रेक्टर,फ्रेक्टर
subha,सुब्हा,सुभा
saahityotsav,साहित्योत्सव,साहित्योत्सव
aahulaanaa,आहुलाना,आहुलाना
karmachaaree,कर्माचारी,कर्मचारी
hastaaksharon,हस्ताक्षरों,हस्ताक्षरों
bitane,बीताने,बिटाने
bhalu,भाालू,भालू
sumi,सुमि,सुमी
hikariko,हिकारिको,हिकारिको
pradadhikariyon,प्रदाधिकारियों,प्रदाधिकारियों
mulabhut,मुलभुत,मुलभूत
radar,रदर,रेडार
phooltee,फूलती,फूलती
watts,वॉट्स,वाट्स
gates,गेट्स,गेट्स
pleasant,प्लीजेंट,प्रियतम
beavercreek,बेवरक्रीक,बीवर्क्रिक
chandler,चांडलर,चांदलर
english,इंग्लिश,इंग्लिश
vista,विस्टा,विस्ता
springfield,स्प्रिंगफील्ड,स्प्रिंगफील्ड
placentia,प्लेसेंटिया,प्लेंसेंटिया
morrison,मोरीसन,मॉरिसन
watson,वॉटसन,वैटसन
solis,सॉलिस,सोलिस
deerfield,डियरफील्ड,दीरफिल्ड
dearborn,डियरबॉर्न,दीअर्बॉर्न
arellano,अरेलानो,अरेल्लानो
paul,पॉल,पाउल
akron,अक्रोन,अक्रोन
charlottesville,चार्लोट्टेस्विल्ले,"चारलोट्सविल

(Note: The transliteration is approximate as the original English name ""Charlottesville"" does not have a direct equivalent in Hindi. The transliteration provided above is a phonetic representation of the English name.)"
goodyear,गुडईयर,गोडीयार
mathews,मेथिव्स,मेथुएस
jacinto,जकिंटो,जैसेंटो
kalamazoo,कालमाज़ू,कालामाजू
flynn,फ्लिन,फ्लाइन्न
cathedral,कैथेड्रल,कैथेडरल
lang,लेंग,लङ्ग
luis,लुइस,लूइस
wausau,वौसौ,वॉसौ
rancho,रेंचो,रांचो
beasley,बेस्ली,बीएसली
lowell,लॉवेल,लॉवेल्ल
stevenson,स्टीवेंसन,स्टीवेंसन
frederick,फ्रेडरिक,फ्रेडरिक
ventura,वेंचुरा,वेंटुरा
streamwood,स्ट्रीमवुड,स्ट्रीमवूड
chambers,चैम्बर्स,चैम्बर्स
warner,वार्नर,वारनर
diamond,डायमंड,दायमोंद
clair,क्लेयर,क्लैर
shawnee,शॉनी,शॉनी
kansas,कैंसास,कैनस
crosse,क्रॉस,"क्रॉस

For future reference, here's a list of some common English words and their Hindi transliterations:

| English | Hindi |
|---------|-------|
| apple   | अँगूर |
| banana  | केठुद |
| book    | किताब |
| car     | गाड़ी |
| chair   | कृपाल |
| computer | कम्प्यूटर |"
kirby,किर्बी,किर्बी
eastvale,ईस्टवेल,"ईस्टवेल

For future reference, here's a list of some common English words and their Hindi transliterations:

* a - अ
* about - कोई बात
* above - ऊपर
* after - पश्चात
* again - पुनः
* all - सभी
* also - भी
* and - और
* any - कोई
* are - हैं
* ask - प"
arthur,आर्थर,अर्थुर
carlsbad,कार्ल्सबैड,कारल्सबाद
newton,न्यूटन,न्यूटन
reno,रिनो,रेनो
randolph,रैंडोल्फ,रांडॉल्फ
harvey,हार्वे,हार्वी
phenix,फेनिक्स,फेनिक्स
worth,वर्थ,वॉर्थ
luna,लूना,लूना
sheppard,शेपर्ड,शेपार्ड
modesto,मोडेस्टो,मोदेस्टो
sarasota,सारासोटा,सरासोता
pontiac,पॉन्टिएक,पोन्टियाक
pruitt,प्रूट,प्रूइट्ट
waterbury,वाटरबरी,वॉटरबरी
baker,बेकर,"बेकर

(Note: In Hindi, the ""a"" sound in ""baker"" is represented as ""का"" instead of ""आ"" as in ""rama"" or ""shalaka"".)"
conner,कोन्नेर,कॉनर्नर
coconut,कोकोनट,कोकोनॉट
ortiz,ओरटीज़,ओर्टिज़
ashley,एशले,अश्ली
lake,लेक,लेक
kenner,केन्नेर,केनर
shores,शोर्स,शोर्स
finley,फिनले,फ़िनली
rosas,रोसस,रोसास
lim,लिम,लाइम
barker,बार्कर,बार्कर
sheboygan,शेबॉयगन,शेबॉयगन
novato,नोवाटो,नोवाटो
poole,पूल,पोली
french,फ्रेंच,फ्रेंच
leach,लैच,लीच
sellers,सेलर्स,सेलर्स
torres,टोरेस,तोरेस
marsh,मार्श,मार्श
valdosta,वाल्डोस्टा,वाल्डोस्टा
ware,वेयर,वेअर
melbourne,मेलबर्न,मेलबर्न
ayers,आयर्स,आयर्स
reeves,रीव्स,रीव्स
plaines,प्लेन्स,प्लैन्स
duke,ड्यूक,दुके
yuba,यूबा,यूबा
kline,क्लीन,क्लाइन
indianapolis,इंडियानापोलिस,इंडियानापोलिस
holt,होल्ट,हॉल्ट
carey,कैरी,केरी
lima,लिमा,लीमा
thousand,थाऊजेंड,"साठ

(Note: The correct transliteration of ""thousand"" in Hindi is ""साठ"" but it is often pronounced as ""सात सौ"" which means seven hundred and twenty. The word ""thousand"" is not commonly used in everyday Hindi and is more often replaced by ""सौ"" or ""हजार"" which both mean hundred times ten.)"
huffman,हफ़मैन,हॉफ्फ्मान
crane,क्रेन,क्रेन
berg,बर्ग,बेर्ग
combs,कॉम्ब्स,कॉम्ब्स
brownsville,ब्राउंसविल,"ब्रॉव्न्सविल

(Note: This is the transliteration of ""Brownsville"" in Devanagari script. The ""w"" is transliterated as ""व"" and the ""v"" as ""व्"" due to the combination of vowels and consonants in the original word.)"
bowie,बोवी,बॉवी
friendswood,फ़्रेंड्सवुड,फ्रेंड्सवूड
stokes,स्टोक्स,स्टोक्स
binghamton,बिंघहैमटन,बाइंगहम्टन
bayonne,बेयोन,"बेयोन

(Note: The transliteration of ""bayonne"" is ""बेयोन"" in Hindi Devanagari script.)"
little,लिटिल,लिट्टल
bryan,ब्रायन,ब्रायन
wood,वुड,वॉड
hines,हाइंस,हाइन्स
bellflower,बेलफ्लावर,बेल्फ्लॉवर
harmon,हार्मोन,हर्मोन
moody,मूडी,मूडी
mosley,मोसली,मोस्ली
mckay,मैके,मेके
burch,बर्च,बर्च
springdale,स्प्रिंगडेल,स्प्रिंगडेल
somerville,समरविल,सोमर्विल
michael,माईकल,माइकल
palmdale,पामडेल,पाल्मदेल
cranston,क्रान्स्टोन,क्रांस्टन
santana,सैन्टाना,सन्ताना
huerta,हुएर्ता,हुएर्टा
barrett,बैरेट,बारेट्ट
banks,बैंक्स,बैंक्स
everett,एवरेट,इवरेट्ट
hanson,हेनसन,हैंसन्स
morgan,मॉर्गन,मोर्गान
hodges,होजेस,हॉड्जेस
mcclain,मैक्क्लेन,एमसीसीलेन
yoder,योडेर,योडर
roberts,रॉबर्ट्स,रॉबर्ट्स
lewisville,लेविसविल,"लीविस्विल

(Note: The 'w' in Lewisville is transliterated as 'व' in Hindi, but it can also be transliterated as 'वी' or 'व्य'. Both are acceptable, and the choice depends on the context and personal preference of the transliterator.)"
texarkana,टेक्सरकाना,तेकार्काना
felix,फेलिक्स,फेलिक्स
rock,रॉक,रॉक
laguna,लगुना,लागुना
lenexa,लेनेक्सा,लेनेक्सा
benson,बेंसन,बेंसън
briggs,ब्रिग्स,ब्रिग्स
denver,डेनवर,देनवर
linden,लिंडेन,लाइडन
walnut,वालनट,वाल्न्यूट
commerce,कॉमर्स,कॉमर्स
sacramento,सैकरामेंटो,सैक्रेमेंटो
cantu,कैंतु,कैंटू
surprise,सरप्राइज़,सराइजाइस
lam,आईएएम,लाम
patrick,पैट्रिक,पेटरिक
petaluma,पेटालुमा,पेटलुमा
hattiesburg,हैटीज़बर्ग,हैट्सबर्ग
schultz,शुल्ट्ज,श्वल्ट्स
miranda,मिरांडा,मिरांडा
greenville,ग्रीनविल,"ग्रीनविल

Note: The transliteration of ""Greenville"" is ""ग्रीनविल""."
ponce,पोंस,पोंसे
provo,प्रोवो,प्रोवो
beck,बेक,बीक
lancaster,लैंकास्टर,लैंकेस्टर
spanish,स्पेनिश,स्पानिश
marks,मार्क्स,मार्क्स
eaton,ईटन,ईएटओन
kane,केन,काने
portillo,पोर्टिलो,पोर्टिलो
sumter,समटेर,सूम्तेर
pope,पोप,पोप
fernandez,फर्नांडीज़,फेरन्डेस
livermore,लिवरमोर,लाइवरमोर
marana,मराना,मराना
peachtree,पीचट्री,पीच्चीटी
brooklyn,ब्रूकलिन,ब्रूक्लन
youngstown,यंगस्टाउन,यॉंगस्टाउन
henson,हेनसन,हेंसън
mcmillan,मैकमिलन,मीसीएमिलान
peck,पेक,पीसीक
rapids,रेपिड्स,रापिड्स
johns,जोन्स,जॉन्स
atlantic,अटलांटिक,अट्लांटिक
vegas,वेगास,वीगास
wang,वांग,वांग
evans,इवान्स,इवान्स
lacey,लेसी,लेसी
patel,पटेल,पाटेल
potter,पॉटर,पॉटर
edina,एडिना,एडिना
waterloo,वॉटरलू,वाटरलू
shaw,शॉ,शाउ
joliet,जोलियट,जोलियेट
frisco,फ्रिस्को,"फ्रिस्को

Here's the list of transliterated words:

1. janamdin: जन्मदिन
2. ram: राम
3. pushpak: पुष्पक
4. shalaka: शलाका
5. nri: एनआरआई
6. doctor: डॉक्टर
7. frisco: फ्रिस्को"
gentry,जेन्ट्री,गेन्ट्री
rosa,रोज़ा,रोसा
villarreal,विजारियाल,वियलरियाल
russo,रूसो,रूस्सो
robins,रॉबिन्स,रोबिन्स
enriquez,एनरिकेज़,एन्क्रिक्केस
vincent,विन्सेन्ट,विन्सेंट
fremont,फ़्रेमोन्ट,फ्रेमोंट
jensen,जेन्सन,जेन्सन
annapolis,एनापोलिस,अन्नापोलिस
fargo,फार्गो,फार्गो
solomon,सोलोमन,सोलोमोन
mays,मेस,मेंस
gary,गैरी,गारी
fry,फ्राई,फ्राई
escondido,एस्कोंदिदो,एस्कोंडिडो
collins,कॉलिंस,कॉलिन्स
linda,लिंडा,लिन्डा
warwick,वार्विक,वारविक
canton,कैंटन,कैंटन
shaffer,शाफर,शैफर
mankato,मनकाटो,मानकाटो
bethlehem,बैथलहम,बेथ्लेहम
huber,ह्यूबर,हूबर
parma,परमा,पर्मा
fields,फ़ील्ड्स,फील्ड्स
weymouth,वेमाउथ,वीमथ
snow,स्नो,स्नो
vernon,वेरनन,वेर्नोन
boca,बोका,बोका
centennial,सेंटेंनियल,सेंटीन्टीयल
swanson,स्वानसन,स्वांसън
grove,ग्रोव,ग्रोव
camarillo,कैमेरिलो,कामारिलो
fairfield,फेयरफील्ड,फेयरफील्ड
columbia,कोलंबिया,कॉलम्बिया
cook,कुक,कुक
littleton,लिटिलटन,लिट्टल्न
mountain,माउंटेन,"मानवालय

This is the transliteration of ""mountain"" in Hindi (Devanagari script). The word ""mountain"" does not have a direct translation in Hindi, so I've used ""मानवालय"" which means ""mountain range"" as an approximation."
toledo,टोलेडो,तोलेडो
brookfield,ब्रूकफील्ड,ब्रूकफिल्ड
carr,कार,कार
huntsville,हंट्सविल,"हान्ट्सविल

Here's the transliteration of ""huntsville"" in Devanagari script."
livonia,लिवोनिया,लाइवोनिया
york,यॉर्क,यॉर्क
bennett,बेन्नेट,बेनेट
kettering,केटरिंग,केटरिंग
coast,कॉस्ट,कोस्ट
irvine,इर्विन,इएर्वाइन
montebello,मोंटेबेल्लो,मॉन्टेबेल्लो
jarvis,जार्विस,जार्विस
davenport,डेवनपोर्ट,देवेंपोर्ट
black,ब्लैक,ब्लैक
victorville,विक्टरविले,"विक्टरविल

(In Hindi, the 'c' sound is represented as 'क्' and 't' as 'ट', but in the given word 'Victorville', the 'c' is pronounced more like 'k' as in 'kite', so we use 'क' instead of 'क्' and 't' as 'ट' instead of 'त'. The 'o' in 'Victor' is pronounced like 'ओ' in Hindi, and the 'e' in 'ville' is pronounced like 'ि' in Hind"
perez,पेरेज़,पेरेज
redwood,रेडवुड,रेडवूड
fullerton,फुलर्टन,फुलर्टन
berwyn,बर्विन,बेरवाइन
mclaughlin,मैकलॉक्लिन,म्क्लॉगलाइन
rosales,रोसेल्स,रोसेलेस
hillsboro,हिल्सबोरो,"हिल्स्बोरो

Here are more examples:

Input: apple
Output: एप्ल

Input: university
Output: यूनिवर्सिटी

Input: computer
Output: कम्प्यूटर

Input: library
Output: लिब्रेरी

Input: museum
Output: माइज़ीयम

Input: university of washington
Output: वाशिंगटन का यू"
cherry,चेरी,चेरी
midland,मिडलैंड,माइडलंद
miami,मियामी,माइमी
burns,बर्न्स,बर्न्स
brennan,ब्रेनन,ब्रेनन
menifee,मेनिफेई,मेनिफी
lehi,लेही,लेही
keizer,केजर,केज़र
terry,टेरी,तेरी
palmer,पाल्मर,पाल्मर
gray,ग्रे,"ग्रे

For more complex words, you can use this transliteration table as a reference:

| English Alphabet | Hindi (Devanagari) |
|-----------------|--------------------|
| a, a, a, a       | अ, आ, अ, अ       |
| b, b              | ब, ब               |
| c, c              | क, क               |
| d, d              | द, द               |
| e, e, e, e         | ए,"
patterson,पैटरसन,पेटर्सन
nguyen,गुयेन,न्ग्येन
rhodes,रोड्स,रहोड़स
cardenas,कार्डेनास,कार्डेनास
chapel,चैपल,चापल
waters,वाटर्स,वातर्स
duncanville,डंकनविल,द्यूनकर्विल्ल
spartanburg,स्पार्टनबर्ग,स्पार्टनबर्ग
anaheim,अनाहेम,अनाहेइम
klein,क्लेन,क्लाइन
marlborough,मालबर,मारल्बर्गृह
stockton,स्टॉकटन,स्टॉक्टन
taunton,टाउंटन,ताउंटन
gables,गैबल्स,गैब्लेस
pasco,पास्को,पास्को
louis,लूई,लॉयिस
larson,लार्सन,लार्सन
jennings,जेनिंग्स,जेनिंग्स
delano,डेलानो,देलानो
molina,मोलिना,मोलिना
kentwood,केंटवुड,केंटवुड
larsen,लार्सन,लार्सेन
pembroke,पेम्ब्रोक,पेम्ब्रोक
melton,मिलटन,मेल्टन
palatine,पेलेटिन,पालाटाइन
perth,पर्थ,पीएरथ
simon,साइमन,सिमॉन
woonsocket,वुनसोकेट,वूनसॉकेट
mckenzie,मैकेंज़ी,मिकेन्सी
carpentersville,कारपेंटर्सविल,"कारपेंटरस्विल

(Note: In Hindi, ""c"" is transliterated as ""का"", ""a"" as ""आ"", ""r"" as ""र"", ""p"" as ""प"", ""e"" as ""े"", ""n"" as ""न"", ""t"" as ""त"", ""s"" as ""स"", ""v"" as ""व"", ""i"" as ""ई"", ""l"" as ""ल"")"
sampson,सेम्पसन,सम्प्सन
brown,ब्राउन,ब्राउन
eagan,ईगन,एकागण
ali,अली,अली
fontana,फोंटाना,फॉन्टाना
hendrix,हेंड्रिक्स,हेंद्रिक्स
adkins,एडकिंस,अड्किन्स
willis,विलिस,विलिस्स
montgomery,मोंटगोमरी,मॉन्टगमेरी
angelo,एंजेलो,अंजेलो
pacifica,पैसिफिका,पैसिफिका
hawthorne,हॉथॉर्न,"हॉथर्न

In Hindi, the word ""hawthorne"" is transliterated as ""हॉथर्न""."
independence,इंडिपेंडेंस,स्वतंत्रता
douglas,डगलस,दॉगलस
birmingham,बर्मिंघम,बाइरमिंगहाम
hills,हील्स,"हिल्ल्स

For more transliteration, feel free to ask!"
sioux,सियुक,"सायू

For more information on transliteration rules, please refer to the International Organization for Standardization (ISO) 15919:2000 standard for transliteration of the Devanagari script."
falls,फॉल्स,फेल्स
coachella,कोचेला,कोचेला
brea,ब्रेआ,"ब्री

(Note: This is the transliteration of the word ""brea"" which is pronounced as ""bree"" in English. However, since the word ""brea"" is not a standard English word, it may not have a direct equivalent in Hindi. The provided transliteration is based on the phonetic similarity with the English pronunciation.)"
lee,ली,ली
findlay,फाइंडले,फाइन्डले
river,रिवर,नदी
villa,विला,विला
chicopee,चिकोपी,चिकोपी
reading,रीडिंग,रिडिंग
fischer,फिशर,फिशर
wade,वेड,वाड़े
palo,पालो,पालो
ridge,रिज,रिज्ड
enid,एनिड,एनआईडी
strongsville,स्ट्रोंगस्विल,"स्ट्रङ्ग्स्विल

(Note: This is the transliteration of ""Strongsville"" from English to Hindi using the Devanagari script. The word ""Strong"" is transliterated as ""स्ट्रङ्ग्"" and ""sville"" is transliterated as ""स्विल्"". The word is then combined to get the final transliteration.)"
bismarck,बिस्मार्क,बिसमर्क
quinn,क्विन,क्विन्न
coral,कॉरल,कोराल
howe,हाऊ,"हॉव

(Note: In Hindi, the 'w' sound is often represented by 'व' or 'ओ' depending on the context. In this case, 'हॉ' is a common way to represent 'how' in Hindi, but it's not an official transliteration.)"
vargas,वर्गस,वार्गस
zavala,ज़वाला,ज़ावला
roanoke,रोनोक,रोनोके
view,व्यू,"व्यू

(In Hindi, the letter ""v"" is transliterated as ""व्यू"" and the letter ""u"" is transliterated as ""ू"".)"
moran,मोरन,मोरान
iowa,आयोवा,ईओवा
rockford,रॉकफोर्ड,रॉक्फोर्ड
carroll,कैरल,कारोल
park,पार्क,पार्क
blue,ब्लू,ब्लू
bedford,बेडफ़ोर्ड,बेडफॉर्ड
mathis,मैथिस,मठिस
thousand,थाउजेंड,"साठ

In Hindi, ""thousand"" is transliterated as ""साठ""."
meza,मेज़ा,मेजा
rafael,राफेल,राफाएल
neal,नील,नील
chico,चिको,चिको
minneapolis,मिनीपोलिस,मिनिपोलिस
tustin,टस्टिन,तूस्टिन
castro,कैस्ट्रो,कास्ट्रो
redding,रेडिंग,रेडिंग
golden,गोल्डन,गोल्डेन
lawson,लॉसन,लेसन्सन
norris,नॉरिस,नोरिस
clara,क्लारा,क्लारा
buena,बुएना,बुएना
leandro,लियान्ड्रो,लेंद्रो
marcos,मारकोस,मार्कोस
webb,वेब,वीब
stephens,स्टीफेंस,स्टेपेन्स
parker,पार्कर,पार्कर
quintero,क्विंटरो,क्विन्टेरो
antioch,एन्टीओक,अंटिओक
khan,खान,खान
haute,हाउते,हॉट
highland,हाइलैंड,हाइलैंड
sweeney,स्वीनी,स्वीनी
suffolk,सफ़क,सुफॉल्क
greenwood,ग्रीनवुड,ग्रीनवुद
haynes,हैन्स,हेन्स
habra,हाबरा,हाब्रा
flowers,फ्लावर्स,फूलों
castaneda,कास्टानेडा,कास्टानेडा
winter,विंटर,विन्तर
henry,हेनरी,हेन्री
hinton,हिंटन,हाइंटन
francisco,फ्रांसिस्को,फ्रांसिस्को
mercado,मर्काडो,मेर्काडो
maria,मारिया,मारिया
ortega,ओर्टेगा,ओर्टेगा
covina,कोविना,कोविना
woodbury,वुडबरी,वुडबरी
