picot,पिकॉट
ukadyacha,उकाड्याचा
dumarpali,डूमरपाली
janmonparant,जन्मोंपरांत
peethas,पीठो
rajmargon,राजमार्गों
vistaranyasathi,विस्तारण्यासाठी
kalimaiah,कालीमैया
korlu,कोरलु
negativity,नेगेटिविटी
chauphal,चौफाल
satyaharishchandra,सत्यहरिश्चन्द्र
ballian,बलियां
padhwana,पढ़वाना
dvidaliya,द्विदलीय
pregnancy,प्रेंगनेंसी
hamsas,हमास
eumatal,यूमेटल
vishaaktat,विषाक्तत
naazaniin,नाज़नीं
subseedi,सबसीडी
heeramaneck,हीरामाणिक
urdhvaadhariyon,ऊर्ध्वाधरियों
stratosphere,स्ट्रैटोस्फियर
bhagyaratna,भाग्यरत्न
khordha,खोरड़ा
silpahari,सिलपहरी
mahej,महज़
shirwa,शिरवा
alhouzul,अलहौज़ुल
sagufta,सगुफ्ता
kunaram,कुनाराम
roopayon,रूपयों
roopavati,रूपवती
spashtikaranhi,स्पष्टीकरणही
khurkhi,खुर्खी
japratinidhiyon,जप्रतिनिधियों
gairdaliton,गैरदलितों
pilluon,पिल्लुओं
jalvaiah,जलवैया
tripindi,त्रिपिंडी
bhajega,भजेगा
triptan,ट्रिप्टन
vyask,व्यस्क
chainala,चैनाला
waverly,वेवरली
hindutatvavadi,हिन्दुतत्ववादी
kyung,कुयोंग
informatist,इन्फॉर्मेटिस्ट
subramuniyaswaami,सुब्रमुनियस्वामी
rookvaati,रूकवाती
vomens,वोमेंस
uchhalkool,उछलकूल
revelery,रेवेलेरी
magdhesh,मगधेश
thelenge,ठेलेंगे
bazmee,बज़मी
tantrachudamani,तंत्रचूडामणि
milapi,मिलापी
sanwarpur,संवरपुर
changejon,चंगेजों
rupnarayan,रुपनारायण
padhikari,पाधिकारी
buddlmcarita,बुद्धचरित
maangnevaali,माँगनेवाली
nideshalayi,निदेशालायी
varnakramanusari,वर्णक्रमानुसारी
namkili,नमकीली
paiqing,पैकिंग
ekdashiyon,एकदशियों
abdalelah,अब्दालेलाह
colourants,कलरेंट्स
frederico,फ़्रेडरिको
lavezzi,लावेज्जी
heemoglobin,हीमोग्लोबिन
penmaca,पेनमाका
pakhavaadebhar,पखवाड़ेभर
semler,सेम्लर
kamazoron,कमज़ोरों
kiramji,किरमजी
jharsugada,झारसुगड़ा
phaarmaasyootikals,फ़ार्मास्यूटिकल्स
sindrasinh,सिंद्रसिंह
nechurat,नेचुरत
ananthasubramanian,अनंतसुब्रमण्यिन
statsman,स्टैट्समेन
mayamat,मायामत
hinahinaati,हिनहिनाती
atmachetan,आत्मचेतन
gurjarwada,गुर्जरवाड़ा
blackcurrant,ब्लैककरेंट
raghuvansh,रघुवंश
uchhalave,उछलवे
sisawa,सिसावा
anun,अनून
mujhkuva,मुजकुवा
doginuma,डोगीनुमा
stokely,स्टोकली
anuyaaiyon,अनुयाईयों
mundala,मुंडला
minya,मिनिया
partilach,पार्टीलाच
sandavyache,सांडव्याचे
yuvatihi,युवतीही
prajatantrikaran,प्रजातान्त्रिकरण
ramasundaram,रामासुन्दरम्
garmeejanit,गर्मीजनित
adadin,अदादीन
shaharivaasiyon,शहरीवासियों
traudl,ट्रॉडल
hyderpura,हैदरपुरा
bujke,बुजके
hatyadeli,हात्यादेली
davanpur,दवनपुर
hadiyon,हादियों
veekhandan,विखण्डन
maypradesh,मयप्रदेश
shikshanababat,शिक्षणाबाबत
avishvashaneeya,अविश्वशनीय
deekhalaane,दीखलाने
gutayyabagh,गुटैय्याबाग
marthak,मर्थक
superreach,सुपररीच
aboriginal,एबॉरिजनल
vyavastataa,व्यवस्तता
mahakaayenge,महकाएँगे
padauti,पदौती
yugpad,युगपाद
benefits,बेनीफिट्स
mobisai,मोबीसाई
pitrishwar,पित्रीश्वर
branca,ब्रांका
gennesaret,गन्नेसरत
trootiyon,त्रुटियों
shenkhat,शेनखत
faakein,फाकें
morsighi,मोरसिघी
buqyaq,बुकयाक
itihaspremi,इतिहासप्रेमी
vismaypoorvak,विस्मयपूर्वक
lolupon,लोलुपों
pratipalya,प्रतिपाल्य
kasradoh,कसराडोह
kiraayedaari,किरायेदारी
badekapasi,बड़ेकापसी
chikitsadhikariyon,चिकित्साधिकारियों
mantriji,मंत्रीजी
sansthapanarth,संस्थापनार्थ
pardarshaktekade,पारदर्शकतेकडे
sonendra,सोनेंद्र
saankhyam,सांख्यं
hedegger,हेडेगर
chrono,क्रोनो
kharadgaon,खरडगांव
eurobic,यूरोबिक
sanghapurte,संघापुरते
grampanchayatchya,ग्रामपंचायतच्या
mudiyanselge,मुदियांसेलगे
khosit,खोसित
khedda,खेड्डा
ghontat,घोंटत
paraseen,परासीन
bolaylach,बोलायलाच
ramposasa,रामपोसासा
gliwice,गिलवाइस
reresus,रेरेसस
doongji,डूँगजी
suganchandra,सुगनचन्द्र
sahpramukh,सहप्रमुख
paparazzi,पापारात्सी
tabei,तबै
junglemahal,जंगलमहल
basante,बसन्ते
trithylene,ट्राइथिलीन
charatible,चैरेटिबल
antarkoshikiya,अंतर्कोशिकीय
kabhimujhe,कभीमुझे
vikrauli,विकरौली
peeliwali,पीलीवाली
shretri,श्रेत्री
anishchita,अनिश्चिता
nivaadyaatil,निवाड्यातील
dhupi,धुपी
nmcx,एनएमसीएक्स
pratispardhyankadun,प्रतिस्पर्ध्यांकडून
kantilalji,कान्तिलालजी
palamiswamy,पलामीस्वामी
deshaat,देशात
parachhaaiyaan,परछाइयाँ
iper,आईपीईआर
dansflour,डांसफ्लोर
karyakraram,कार्यक्ररम
bharuhava,भरुहवा
pirbahor,पीरबहोर
tisauri,तिसौरी
nababharat,नबभारत
masuko,मासुको
tirthantan,तीर्थांटन
langhimar,लंघीमार
bataaoon,बताऊँ
hlaing,हलियांग
sasuke,ससुके
expochya,एक्स्पोच्या
creamleyer,क्रीमलेयर
ushmaan,उष्मान
andijan,अन्दिजों
aaganak,आगणक
develan,देवेलन
maltiji,माल्तीजी
luhnu,लुहनू
draupadikoop,द्रौपदीकूप
ahju,अह्जु
vaggo,वग्गो
baqeri,बकेरी
jascinta,जसिंता
najai,नजाई
upabandhita,उपबंधित
apprenticeship,एप्रेन्टिसशिप
hirwakandil,हिरवाकंदील
gripits,ग्रिपित्स
zimni,ज़िमनी
kaithe,कैथे
vemulwada,वेमुलवाडा
khaavay,खावय
briddhavastha,बृद्धावस्था
swaronwale,स्वरोंवाले
mayotte,मायोटे
letia,लेटिया
yuganuyug,युगानुयुग
yatracyclothon,यात्रासाइक्लोथन
swemash,स्वेमाश
ekatma,एकात्मा
sarkot,सारकोट
sapashtata,सपष्टता
honeypreme,हनीप्रीम
revolutionary,रिवॉल्युशनरी
mahaayaj,महायज
ghantey,घन्टे
lyricrus,लिरिक्रस
belaan,बेलां
buggi,बुग्गी
khubna,खुबना
ftutures,फ्चूचर्स
pindadaan,पिण्डदान
khandre,खांद्रे
anfluenzae,एन्फ्लुएन्जा
denpasar,डेन्पासर
gajjapur,गज्जपुर
takrali,टकराली
vacaville,वैकविले
vairatya,वैराट्य
esma,एस्मा
piditesobat,पीडितेसोबत
banjaro,बंजारों
bhaunsala,भौंसाला
necoh,नको
kutumbiyancha,कुटुंबीयांचा
hormono,हॉर्मोनो
bharkatleli,भरकटलेली
lohiyaavaadiyon,लोहियावादियों
qisme,क़िस्मे
suhanon,सुहानों
kwatraporte,क्वात्रापोर्ते
jethalmalani,जेठलमलानी
bunden,बुंदें
vissav,विस्साव
bichhaunon,बिछौनों
alumini,एल्युमिनी
philosophers,फिलासफर्स
ekeshwarvaad,एकेश्वरवाद
wilfried,विल्फ़्रेड
puttarvaahi,पुत्तरवाही
khetag,खेताग
intajamon,इंतजमों
jhanpeng,झानपेंग
shetjaminitil,शेतजमिनीतील
narayanasi,नारायणसी
gajjanwala,गज्जनवाला
khandawali,खंडावली
lodhiganj,लोधीगंज
carina,कारीना
scissors,सिजर्स
samahal,समाहल
obara,ओबारा
besarami,बेसरमी
sahayakancha,सहायकांचा
uscil,यूएससीआईएल
kailaay,कैलाय
kundarki,कुंडरकी
mahashukra,महाशुक्र
zindagii,ज़िन्दगी
maaspeshiyon,मासपेशियों
yoktan,योक्तान
chudasama,चुदासामा
chairmap,चेयरमैप
meele,मीले
kuzumaki,कुजुमाकी
kekrib,केकरीब
jaldharancha,जलधारांचा
haandee,हाँडी
khashkhabri,खशखबरी
nirgamanaatmak,निर्गमनात्मक
yadyanvar,याद्यांवर
kerbstone,केर्बस्टोन
nekai,नेकई
nirdeshek,निर्देशेक
faxpad,फैक्सपैड
niranjananand,निरंजनानन्द
gulpayegani,गुलपाएगानी
prachipanchpust,प्राचीपांचपुस्त
talpona,तालपोना
jyhaadaahai,ज्य़ादाहै
workable,वर्केबल
distributed,डिसट्रीब्यूटेड
antepudendum,अग्रप्यूडेंडम
sitendra,सितेन्द्र
jayasankaran,जयसंकरन
sanyamane,संयमने
faishanpasand,फैशनपसंद
mayotte,मैयोटे
atkeprakarani,अटकेप्रकरणी
rakhaaya,रखाया
sanghavi,सिंघवी
jnit,जेएनआईटी
ladwal,लड़वाल
mukhvatyanchi,मुखवट्यांची
kiltan,क्लिटन
valentino,वैलेंटीनो
pabt,पीएबीटी
nojba,नोजबा
ajamgarhi,आजमगढ़ी
panchaala,पांचाल
anugraharoop,अनुग्रहरूप
shanain,शनैं
democraticut,डेमोक्रेटिकट
lycosome,लाइकोसोम
vapral,वापराल
tusharjaniki,तुषारजनिकी
moddumudi,मोद्दुमुदी
scanic,स्केनिक
manilal,मनिलाल
janmavedi,जन्मवेदी
vitaminon,विटामिनों
makerspace,मेकरस्पेस
jatisamuday,जातिसमुदाय
chamberlain,चेंबरलेन
sukshmadrishya,सूक्ष्मदृश्य
kabizdar,काबिजदार
chintamadka,चिंतामदका
atisanyojan,अतिसंयोजन
shubharthi,शुभार्थी
likhtani,लिखतानी
randomized,रैन्डमाइज़्ड
vakraprishth,वक्रपृष्ठ
accupation,एक्युपेशन
kantata,कांटता
ramjivanpur,रामजीवनपुर
savaarte,सवारते
kunjeng,कुनजेंग
udyogmundal,उद्योगमण्डल
galakar,गलाकर
paigambari,पैगम्बरी
nowshera,नॉवशेरा
sidkulgutta,सिडकुलगुट्टा
thakbakiprakarani,थकबाकीप्रकरणी
bhuse,भुसे
saampala,सांपला
gynaecomastia,गायनीकोमैस्टिया
balhada,बल्हड़ा
torsonial,टोरसोनियल
grse,जीआरएसई
asanghateet,असंघटीत
kahanin,कहानिन
tarank,तारांक
aspirational,एस्पायरेशनल
sarlorlux,सारलोरलक्स
siaf,सियाफ
vaishnodavi,वैष्णोदवी
evad,रेवड़
chilimula,चिलिमुला
jeena,जिना
behrampora,बेहरमपोरा
bhusasi,भुसासी
ulajhaayenge,उलझाएंगे
kemnohar,केमनोहर
salstice,साल्स्टिस
communizm,कम्यूनिज्म
balkrishnadas,बालकृष्णदास
auraaya,औराया
khodkamachya,खोदकामाच्या
bhathkhande,भातखंडे
voopoorn,वूपूर्ण
siyasaran,सियासरण
andolanan,आन्दोलनन
kisanveeranchya,किसनवीरांच्या
cineline,सिनेलाइन
dubachauda,दुबाचौड़ा
tlh,टीएलएच
pedicelled,पेडिसेल्ड
qasemi,कासेमी
manzinus,मेनजनीस
akursi,आकुर्सी
rakhabani,राखाबानी
smithkaline,स्मिथकलाइन
haqeeqee,हक़ीक़ी
dorub,दोरब
kshaatraon,क्षात्राओं
vishwaswarupam,विश्वस्वरुपम
spotifue,स्पॉटिफ्यू
chalbu,चलबू
yogipur,योगीपुर
wagwe,वागवे
sahsanyojakgan,सहसंयोजकगण
prophasar,प्रोफसर
takkyankade,टक्क्यांकडे
shairee,शाइरी
dhurishetty,धुरीशेट्टी
swarnakshar,स्वर्णाक्षर
ghanghebaaj,घंघेबाज
guppistan,गप्पिस्तान
vekhud,वेखुद
jhaavimon,झाविमों
samajhaakara,समझाकर
puller,पुलर
bhumiben,भूमिबेन
bhanot,भनोत
charno,चरणो
khalvaadaa,खलवाड़ा
koriyama,कोरियामा
jaileen,जैलीन
teebratar,तीब्रतर
splits,स्प्लिट्स
bamhorikala,बम्होरिकला
tibrata,तिब्रता
jarib,जरीब
balbhoj,बालभोज
sanuth,संथ
latiyaan,लतियां
rajbhashaon,राजभाषाओं
ifran,इफ्रान
rehtha,रहता
sonalkar,सोनलकर
chatuvardevi,चतुवर्देवी
baruno,बरुनो
kurundwade,कुरूंदवाडे
nidibaddh,निदिबद्ध
kabulisathi,कबुलीसाठी
suryahi,सूर्याही
chhuupati,छुपती
chairo,चैरो
shreeamrit,श्रीअमृत
vajradatt,वज्रदत्त
tariceanu,टैरिसिआनू
natia,नाटिया
francica,फ्रांसिका
karengekanya,करेंगेकन्या
suryakha,सूर्यखा
tannery,टैनरी
budhhvaar,बुधवार
polichalur,पोलीचलूर
pekitan,पेकिटन
taparimadheel,टपरीमधील
prakaranvash,प्रकरणवश
urvidhar,उर्वीधर
chakheri,चखेरी
chirali,चिराली
aadirahit,आदिरहित
tharalyanusarach,ठरल्यानुसारच
superparamagnetic,सुपरपरामैग्नेटिक
samakhiali,समाखेली
narendra,नरंेद्र
jarwat,जरवत
guillamon,गुलियामान
gharchyankadun,घरच्यांकडून
lockheed,लॉकहिड
jubanbandi,जुबानबंदी
pralobhi,प्रलोभी
carobaric,कारोबारिक
vyakhaon,व्याखाओं
shirodkarancha,शिरोडकरांचा
ishikari,इशिकारी
examiners,एक्सामिनर्स
shirgaonche,शिरगांवचे
ahiret,अहिरेत
bryson,ब्रायसन
jayantivar,जयंतीवर
patrikemadhye,पत्रिकेमध्ये
hazards,हेजार्ड्स
chultyachya,चुलत्याच्या
kuyo,कुयो
gelbana,गेलबाना
nakhase,नखासे
karadataon,करादताओं
raxaulvasiyon,रक्सौलवासियों
thamegee,थमेगी
ramapuram,रामापुरम
ganeke,गानेके
injoy,इन्जॉय
shindeshahich,शिंदेशाहीच
embalishment,इम्बेलिशमेंट
avindhya,अविन्ध्य
yaduveer,यदुवीर
sudisha,सुदीशा
mizaajpurasi,मिज़ाजपुरसी
pairbi,पैरबी
khomchawala,खोमचावाला
aksheena,अक्षीण
tairoongi,तैरूंगी
brahpal,ब्रहपाल
durvasula,दुर्वासुला
shrom,श्रोम
barza,बरजा
bachanewala,बचानेवाला
bhikhamdas,भीखमदास
krishnatre,कृष्णात्रे
jayendrakumar,जयेन्द्रकुमार
chhindwali,छिंदवाली
suiyadih,सुइयाडीह
ruldu,रुल्दु
haanthi,हाँथी
salwinder,सलविन्दर
sultanaz,सुलतानाज़
kaanvadiya,कांवड़िया
hovot,होवोत
raghunatharam,रघुनाथाराम
kuperi,कुपेरी
tegdhar,तेगधर
vyankatu,व्यंकटू
manikji,माणिकजी
sharapona,शारापोना
sevepeksha,सेवेपेक्षा
gilliter,गिलीटर
shrinijan,श्रीनिजन
mascommunication,मासकम्यूनिकेशन
balayogeshwar,बालयोगेश्वर
pasliyaan,पसलियाँ
kharel,खरैल
triyeste,त्रियेस्ते
tadepalli,तादेपल्ली
globum,ग्लोबम
madhyagram,मध्यग्राम
chainalwalon,चैनलवालों
raajanitigya,राजनितिज्ञ
purskaron,पुरस्कारों
graameenen,ग्रामीणें
dingman,डिंगमैन
baithethe,बैठेथे
samlashan,समलाशन
vidyatrayi,विद्यात्रयी
daidipt,दैदीप्त
matauli,मतौली
sudharon,सुधारों
roshnara,रोशनारा
dandaut,दण्डौत
vaparleli,वापरलेली
tractable,ट्रैक्टेबल
perumbavoor,पेरुम्बावूर
aqasaam,अक़साम
vishwavinayak,विश्वविनायक
terlin,टर्लिन
rickwest,रिकवेस्ट
barukhedi,बरुखेडी
tidawali,टिडावली
atmadharma,आत्मधर्म
mukhtiar,मुख्त्यार
serado,सेराडो
krislinjki,क्रिसलिंजकी
reluctant,रिलक्टैंट
thaddaram,थद्दाराम
prostitute,प्रोस्टीटयूट
prakshep,प्रक्षेप
himalayan,हिमालच
congratulations,कांग्रेचुलेशंस
lohandiguda,लोहण्डीगुड़ा
mediagame,मीडियागेम
vikalparup,विकल्परुप
udayanadeva,उदयनदेव
machhodari,मछोदरी
pratipari,प्रतिपारी
yadavavar,यादववर
ghusede,घुसेड़े
rempart,रेम्पार्ट
shranarthi,शरणार्थी
resistor,रेसिस्टर
vidhathi,विधाथी
penipatti,पेनीपत्ती
everito,ईवेरिटो
jarir,जारिर
employees,इंप्लायज
dockyardon,डॉकयार्डों
kotewali,कोटेवाली
kuchivotla,कुचीवोतला
ananyapremi,अनन्यप्रेमी
badhitanpaiki,बाधितांपैकी
williamsom,विलियम्सम
priyananda,प्रियानन्द
retailus,रिटेलस
nashua,नाशुआ
bucky,बकी
cuttestants,कटेस्टेंट्स
dhandyavaril,धंद्यावरील
durjanta,दुर्जनता
sammishrit,सम्मिश्रित
munnichak,मुन्नीचक
katharia,कथारिया
petrotech,पैट्रोटेक
saimadevajyu,सैमदेवज्यु
babarkheda,बाबरखेड़ा
cirkus,सर्कस
jaatvedasam,जातवेदसं
mahadevu,महादेवु
neelsaraswati,नीलसरस्वती
khaniyadhan,खनियाधान
washar,वाशर
godanon,गोदनों
sedeno,सेडेनो
chavvani,चव्वनी
karois,करोइस
upssac,यूपीएसएसएसी
mathad,मतहद
logkisi,लोगकिसी
patriarchy,पेट्रीआर्की
punjipura,पुंजीपुरा
musepur,मूसेपुर
kerouac,केरुआक
khajaron,खजरों
motibagh,मोतीबाग़
minla,मिन्ला
aadharvakya,आधारवाक्य
saraipali,सराइपाली
peruj,पेरुज
bilitang,बिलितांग
chinchwada,चिंचवाड़ा
satyashodhak,सत्यशोधक
barhvein,बारहवें
gaith,गैथ
karaanemen,करानेमें
sarangkheda,सारंगखेडा
aakashdharma,आकाशधर्मा
moolsthan,मूलस्थान
resulting,रिजल्टिंग
asothar,असोथर
neyar,नेयर
nirdeshko,निदेशकों
hainlal,हैंलाल
sukalu,सुकालु
viniyojan,विनियोजन
khobraged,खोब्रागेड
renaissance,रेनसान्स
uchaain,उचाईं
kasaile,कसैले
misiya,मिसिया
pulwada,पुलवाडा
sayako,सयाको
surfactant,सर्फेक्टेंट
smbgas,एसएमबीजीएएस
islawati,इसलावती
drack,ड्रैक
microbiome,माइक्रोबियम
oochalte,उछलते
vanpathkadware,वानपथकाद्वारे
inhalents,इनहेलेंट्स
halkanki,हलकांकि
worming,वार्मिंग
grunch,ग्रन्च
kinjare,किंजरे
sra,सियारा
spardhaache,स्पर्धाचे
aghore,अघोरे
carmencita,कारमेनसिता
orvm,ओआरवीएम
stored,स्टोर्ड
gauganki,गौगंकी
shrinkh,श्रृंख
samosaran,समोसरण
kanthaatoon,कंठातून
intikhabe,इंतिखाबे
purushmedh,पुरूषमेध
homokistein,होमोकिस्टीन
sarfarar,सरफरार
shwavidya,श्वविद्या
hngshn,होन्जशेन
gayashirsh,गयाशीर्ष
nemlelya,नेमलेल्या
pakshanetyasathi,पक्षनेत्यासाठी
arpitanyapi,अर्पितान्यपि
todte,तोडते
inheritance,इनहेरिटेन्स
chakrata,चकराता
bhaisol,भैसोल
paneru,पनेरु
khushri,खुशरी
sica,सिका
anshumol,अंशुमोल
sarvajanopayogi,सर्वजनोपयोगी
aggregates,एग्रिगेट्स
aayushmann,आयुष्मान
custody,कस्टडी
vatoot,वतूत
kalparakshit,कल्परक्षित
padonnatiyaan,पदोन्नतियां
duodenal,डुओडनल
vichaarkraanti,विचारक्रांति
technovation,टैक्नोवेशन
nemonitis,निमोनाइटिस
barasapara,बारासापारा
nesfield,नेसफील्ड
hymnal,हाइमनल
winehouses,वाइनहाउस
samayaamayik,समयामयिक
megatran,मेगाट्रन
girhath,गिरहथ
sarkarchyahi,सरकारच्याही
vidhika,विधिका
ooba,ऊबा
parayadhan,परायाधन
viklangta,विकलांगता
angathyaache,अंगठ्याचे
harebhare,हरेभरे
srijandharmiyon,सृजनधर्मियों
stephylococcus,स्टेफ़ीलोकोकस
alemanno,अलेमानो
rashtapita,राष्टपिता
sopewell,सोपवेल
narova,नरोवा
sukhaake,सुखाके
sandarbhatoon,संदर्भातून
bhatibari,भाटीबारी
collinwood,कॉलिनवुड
lavanyababatahi,लावण्याबाबतही
samtaaiyon,समताइयों
prasootikagrih,प्रसूतिकागृह
cornis,कॉर्निस
chaparda,चापर्डा
antrashtriya,अन्तराष्ट्रीय
prabodhika,प्रबोधिका
lamps,लैंप्स
silikosit,सिलिकोसित
doeschate,डोएशे
bezpo,बेजपो
saropama,सरोपमा
kmcc,केएमसीसी
chordaha,चोरदहा
vasadatta,वासदत्ता
dagda,दगड़ा
sansh,सांश
shasanpramukh,शासनप्रमुख
intense,इन्टेंस
octavo,ओक्टावो
vyaktitvantaran,व्यक्तित्वान्तरण
tersu,तेरसु
sonasal,सोनसाल
bhaupur,भाऊपुर
heisenberg,हेज़नबर्ग
dictaterana,डिक्टेटराना
chudpura,चुड़पुरा
utkashth,उत्कष्ठ
seeps,सीप्स
bhatoya,भटोया
musrani,मुसरानी
frequencies,फ्रीक्वेंसीज
rashling,रेशलिंग
hodlya,होडल्या
bharuva,भरूवा
kardeshian,कर्देशियन
gpf,जीपीएफ़
mccartney,मेककार्टनी
bhomamak,भोममक
igyen,इग्येन
enforcement,एन्फोर्समेंट
udaaran,उदारण
kepyale,केप्याले
pilaunji,पिलौंजी
beltline,बेल्टलाइन
dampatyavar,दाम्पत्यावर
saymanusar,सयमानुसार
baatho,बाठो
bhaante,भांते
mavanda,मावंडा
kshetradekhil,क्षेत्रदेखील
environmental,एनविरॉनमेंटल
eastman,इस्टमैन
saddhanton,सद्धांतों
empanelment,इम्पैनलमैंट
bandham,बंधम
tissert,टिसर्ट
dhyanyogya,ध्यानयोग्य
istambuli,इस्तांबुली
yantranet,यंत्रणेत
pisharati,पिषारटि
davedaranvar,दावेदारांवर
dilwaai,दिलवाई
kindratoli,किन्द्राटोली
ibbu,इब्बू
gharkar,घरकर
lalpustak,लालपुस्तक
shuddodhan,शुद्दोधन
granthadindiche,ग्रंथदिंडीचे
paryaan,पर्याण
smartlook,स्मार्टलुक
durgeshnandini,दुर्गेशनन्दिनी
jhulen,झुलें
paunar,पौनार
vippan,विप्पन
anashchit,अनश्चित
janheet,जनहीत
satyakarma,सत्यकर्मा
raanjhnaa,राँझना
varpaya,वरपाया
frezza,फ्रीज़ा
mingire,मिंगिरे
vyaparigan,व्यापारिगण
naugaja,नौगजा
kahansuni,कहानसुनी
khifaizabad,खिफैज़ाबाद
agriculuture,एग्रीकल्चर
sireez,सिरीज
chriesta,क्रिएस्टा
nishithkaal,निशिथकाल
manjhaani,मंझानी
bobsin,बॉबसिन
paijama,पैजामा
nakono,नाकोनो
hujaj,हुजाज
stris,स्ट्रिस
byopaar,ब्योपार
roopaantarit,रूपान्तरित
marsha,मार्शा
tbk,टीबीके
kangresiyon,कांग्रेसियों
sundareswarar,सुंदरेश्वर
coff,कॉफ
arthalipsa,अर्थलिप्सा
swooffle,स्वूफल
rajkumarak,राजकुमारक
homecor,होमेकोर
copernics,कोपरनिक्स
brouver,ब्राउवर
aush,आऊष्
kijile,किजिले
somwati,सोमवती
padaai,पड़ाई
kimaan,किमां
segen,सेगेन
eupher,यूफर
jaayenmaaz,जायेनमाज़
khitabu,खिताबू
parvitankari,पर्वितनकारी
kshaariyata,क्षारीयता
javemondal,जैवमंडल
acrostic,एक्रॉस्टिक
beedhe,बीधे
maanavaakruthiyon,मानवाकृतियों
arigpudi,आरिगपूडि
scopolamine,स्कोपोलमीन
stargate,स्टार्गेट
skival,स्किवल
aamilon,आमिलों
bomberman,बॉम्बरमैन
doghanchya,दोघांच्या
unsweeton,अनस्वीटन
samskarvasha,संस्कारवश
charitragaan,चरित्रगान
tibabti,तिबब्ती
adhikaranvar,अधिकारांवर
shaktidatt,शक्तिदत्त
heritagewadi,हेरिटेजवाडी
shetkaryanvishayi,शेतकऱ्यांविषयी
himeta,हिमेता
admissionform,एडमिशनफॉर्म
arbani,अरबानी
sangrahagar,संग्रहागार
arvindpal,अरविंदपाल
mrilya,मृल्य
nanga,नंग
maximisation,मैक्सिमाइजेशन
prataritastriyon,प्रतारितस्त्रियों
mulafest,मुलाफेस्ट
representational,रिप्रेजेंटेशनल
rememberance,रिमेम्बरेंस
ashiyaki,आशियाकी
vidhanbhavanavar,विधानभवनवर
glosgo,ग्लॉसगो
alferov,अल्फेरोव
manoranjakta,मनोरंजकता
gulbuuta,गुलबूटा
svitolina,स्वितोलाना
airconditioning,एयरकंडिशनिंग
groningen,ग्रोनिंगन
dayyappa,दय्याप्पा
wangath,वांगथ
ruchira,रुचीरा
matribhashecha,मातृभाषेचा
pulgate,पुलगेट
bhosareet,भोसरीत
extracts,एक्सट्रैक्ट्स
zoey,ज़ोएय
duherikaranachi,दुहेरीकरणाची
lavu,लवू
jaankaariye,जानकारिये
alphabatic,अल्फाबैटिक
frauen,फ्रौएन
mutiane,मुतियाने
borputari,बोरपुतारी
niyantraak,नियंत्राक
yamagata,यामागता
parthean,पार्थियन
sukreti,सुकरेती
keturah,कतूरा
senika,सेनिका
vidyutikaran,विद्युतिकरण
raped,रेप्ड
ruberoid,रूबेरॉयड
brahmastra,ब्रहमास्त्र
nisargamay,निसर्गमय
chandradevji,चंद्रदेवजी
phunchong,फुनचोंग
balodhyan,बालोद्यान
shaktideen,शक्तिदीन
stepien,स्टीफ़न
levteris,लेवेतेरिस
gheranen,घेरनें
istebdad,इस्तेबदाद
dinkal,दिनकाल
tarsikka,तरसिक्का
lalikala,लालिकला
farukkhabad,फर्रूखाबाद
bhatotar,भटोतर
palana,पलना
zubza,जुबजा
uribe,यूरिबे
vidhipurn,विधिपूर्ण
pahune,पाहुणे
cambay,कॉम्बे
milud,मिलुद
colera,कोलेरा
gadsawan,गडसावन
avomin,एवोमिन
gastrointestinal,गेस्ट्रोइंटेस्टीनल
reprogram,रिप्रोग्राम
mehaji,मेहाजी
wyahar,व्यहार
garbhapaati,गर्भपाती
chamatkarache,चमत्काराचे
nayanala,नयनाला
rochelle,रौशेल
rebue,रीब्यू
manadand,मानदंड
unfortunately,अनफॉर्च्युनेटली
beganapan,बेगानापन
dholnagar,ढोलनगर
sijauli,सिजौली
deport,डिपोर्ट
mishiko,मिशिको
kuprabhaavon,कुप्रभावों
hithal,हिथल
shoku,शोकू
kalsrp,कालसर्प
vayade,वयदे
actesses,एक्टेसेस
bsgss,बीएसजीएसएस
titoria,तितोरिया
ghurei,घुरेई
maheeno,महीनो
bhupinder,भूपिन्दर
hindaulia,हिंडौलिया
padengey,पड़ेगे
kaveesh,कवीश
pauravo,पौरवों
amadnama,आमदनामा
aplogo,अपलोगो
anushtubh,अनुष्टुभ
kaneshwara,कनेश्वरा
adhuri,अधूरी
receipint,रिसीपिंट
khadaaoon,खड़ाऊं
hydr,हैदर
punnaiah,पुनैय्या
aparivartineeya,अपरिवर्तिनीय
aankvaadiyon,आंकवादियों
petrocylenum,पेट्रोसिलीनम
tikalu,टिकलु
bikhareta,बिखरेता
bhashikanchyavatine,भाषिकांच्यावतीने
nomchomsky,नोमचोम्स्की
rohinchi,रोहींची
ijaarey,इजारे
mudakhilat,मुदाखिलत
tatsuhiro,तात्सुहीरो
sangathankartta,संगठनकर्त्ता
nathwani,नथवानी
unqualified,अनक्वालीफाइड
vedadi,वेदादी
painshun,पैन्शन
mandarai,मंडराई
moghulpura,मोघुलपुरा
smput,सम्पुट
sadhvipragya,साध्वीप्रज्ञा
prabriddh,प्रबृद्ध
nalle,नल्ले
calculate,केल्कुलेट
bermack,बरमैक
rainhart,रेनहार्ट
baburia,बाबुरिया
gittiyon,गिट्टियों
parinyotsav,परिणयोत्सव
perticulate,पर्टीक्युलेट
vitirat,वितिरत
praveshikaon,प्रवेशिकाओं
gerad,जीराड
kigri,किग्री
deshomein,देशोमें
